npsn,name,status,grade,district_id,district,regency_id,regency,province_id,province,latitude,longitude
P9945769,PKBM CITRA SRIKANDI,SWASTA,PKBM,70124,Kec. Hamparan Perak,70100,Kab. Deli Serdang,70000,Prov. Sumatera Utara,3.7207,98.6135
P9962950,PKBM MULIA,SWASTA,PKBM,71702,Kec. Teluk Dalam,71700,Kab. Nias Selatan,70000,Prov. Sumatera Utara,0.8762274,97.7273766
P2962043,PKBM BUDI UTAMA,SWASTA,PKBM,21432,Kec. Sindangkasih,21400,Kab. Ciamis,20000,Prov. Jawa Barat,-7.2838,108.2309
P9954319,PKBM BESTARI,SWASTA,PKBM,310109,Kec. Seri Kuala Lobam,310100,Kab. Bintan,310000,Prov. Kepulauan Riau,1.012796,104.3208127
P9948416,PKBM ULIL AL-BAB,SWASTA,PKBM,266001,Kec. Selebar,266000,Kota Bengkulu,260000,Prov. Bengkulu,-3.856,102.3559
P2961648,PKBM SALSABILA,SWASTA,PKBM,160103,Kec. Paser Belengkong,160100,Kab. Paser,160000,Prov. Kalimantan Timur,-1.9312,116.1884
P2963035,PKBM AL-ITQAN,SWASTA,PKBM,52819,Kec. Dungkek,52800,Kab. Sumenep,50000,Prov. Jawa Timur,-6.989,114.0693
P2965722,PKBM SETIA KAWAN,SWASTA,PKBM,166103,Kec. Balikpapan Utara,166100,Kota Balikpapan,160000,Prov. Kalimantan Timur,-1.22137,116.8571933
P9997367,PKBM YIROSIMA,SWASTA,PKBM,253002,Kec. Pirime,253000,Kab. Lanny Jaya,250000,Prov. Papua,0,0
P9963049,PKBM PONPES AL-HASYIMIYAH,SWASTA,PKBM,120493,Kec. Air Hitam,120400,Kab. Lampung Barat,120000,Prov. Lampung,-5.1129365,104.4220227
P2960607,PKBM PERMATIS,SWASTA,PKBM,20504,Kec. Cibungbulang,20500,Kab. Bogor,20000,Prov. Jawa Barat,-6.5828,106.6554
P2967012,PKBM BELIUNG MAJU,SWASTA,PKBM,136003,Kec. Pontianak Barat,136000,Kota Pontianak,130000,Prov. Kalimantan Barat,-0.0141,109.2912
P2960964,PKBM TAMANAN,SWASTA,PKBM,40113,Kec. Banguntapan,40100,Kab. Bantul,40000,Prov. D.I. Yogyakarta,-7.8406383,110.3916783
P9954257,PKBM AIR NANINGAN,SWASTA,PKBM,120626,Kec. Air Naningan,120600,Kab. Tanggamus,120000,Prov. Lampung,-5.2484,104.7259
P9954149,PKBM BAITI JANATI,SWASTA,PKBM,21140,Kec. Tarogong Kidul,21100,Kab. Garut,20000,Prov. Jawa Barat,-7.198342,107.900942
P2960307,PKBM SAWARGI,SWASTA,PKBM,20804,Kec. Pangalengan,20800,Kab. Bandung,20000,Prov. Jawa Barat,-7.1232,107.5478
P9934479,PKBM YAYASAN BHAKTI IBU NUSANTARA,SWASTA,PKBM,86108,Kec. Nanggalo,86100,Kota Padang,80000,Prov. Sumatera Barat,-0.9053921,100.3694581
P9996857,PKBM KOMUNITAS ANAK INDONESIA,SWASTA,PKBM,286105,Kec. Batuceper,286100,Kota Tangerang,280000,Prov. Banten,-6.1568759,106.6536794
P2962611,PKBM PONDOK BELAJAR,SWASTA,PKBM,286203,Kec. Kasemen,286200,Kota Serang,280000,Prov. Banten,-6.0768,106.1533
P9908856,PKBM NYIUR,SWASTA,PKBM,130209,Kec. Sungai Pinyuh,130200,Kab. Mempawah,130000,Prov. Kalimantan Barat,0.3746,108.9726
P9984951,PKBM HUSNUL KHOTIMAH,SWASTA,PKBM,200714,Kec. Kabaena Barat,200700,Kab. Bombana,200000,Prov. Sulawesi Tenggara,-5.1588191,121.8334825
P2965422,PKBM DELIMA,SWASTA,PKBM,300104,Kec. Tilamuta,300100,Kab. Boalemo,300000,Prov. Gorontalo,0.5251067,122.3565983
P9984971,PKBM MONTESSORI,SWASTA,PKBM,166101,Kec. Balikpapan Selatan,166100,Kota Balikpapan,160000,Prov. Kalimantan Timur,-1.2507734,116.881975
P9926351,PKBM NURUL FITRI,SWASTA,PKBM,280123,Kec. Cikedal,280100,Kab. Pandeglang,280000,Prov. Banten,-6.3944,105.8626
P9962670,PKBM AL-KAUTSAR,SWASTA,PKBM,66401,Kec. Simpang Kiri,66400,Kota Subulussalam,60000,Prov. Aceh,2.7049816,98.0342705
P9963066,PKBM HARAPAN BERSAMA,SWASTA,PKBM,260321,Kec. Kedurang Ilir,260300,Kab. Bengkulu Selatan,260000,Prov. Bengkulu,-4.4899148,103.0442503
P9996938,PKBM Tripko Aema,SWASTA,PKBM,251737,Kec. Iwur,251700,Kab. Pegunungan Bintang,250000,Prov. Papua,-5.0748628,140.7190555
P9970643,PKBM BINA SATU NUSA,SWASTA,PKBM,280303,Kec. Cikupa,280300,Kab. Tangerang,280000,Prov. Banten,-6.2055219,106.5384386
P2965335,PKBM NURUL HIKMAH,SWASTA,PKBM,20644,Kec. Bojong Genteng,20600,Kab. Sukabumi,20000,Prov. Jawa Barat,-6.82891,106.723704
P9996673,PKBM BINTANG,SWASTA,PKBM,72803,Kec. Sitolu Ori,72800,Kab. Nias Utara,70000,Prov. Sumatera Utara,1.375823,97.4806619
P2963234,PKBM HANDAYANI,SWASTA,PKBM,191411,Kec. Paleteang,191400,Kab. Pinrang,190000,Prov. Sulawesi Selatan,-3.7744,119.6645
P9996423,PKBM BABUSSHAFA AL-AZIZIYYAH,SWASTA,PKBM,60310,Kec. Baktiya,60300,Kab. Aceh Utara,60000,Prov. Aceh,5.1749288,97.3861053
P9968103,PKBM Mafasha,SWASTA,PKBM,26504,Kec. Bekasi Timur,26500,Kota Bekasi,20000,Prov. Jawa Barat,-6.2549,107.023
P9954368,PKBM TANJUNG PERMAI,SWASTA,PKBM,131108,Kec. Nanga Pinoh,131100,Kab. Melawi,130000,Prov. Kalimantan Barat,-0.2994,111.7907
P9996842,PKBM DARUL NAZZA,SWASTA,PKBM,20711,Kec. Campaka,20700,Kab. Cianjur,20000,Prov. Jawa Barat,-7.023318,107.0998826
