npsn,name,status,grade,district_id,district,regency_id,regency,province_id,province,latitude,longitude
10402954,SMA NEGERI 1 TANDUN,NEGERI,SMA,90911,Kec. Tandun,90900,Kab. Rokan Hulu,90000,Prov. Riau,0.6091,100.6429
10300829,SMAN 1 PANTI,NEGERI,SMA,80211,Kec. Panti,80200,Kab. Pasaman,80000,Prov. Sumatera Barat,0.1345,100.1684
69955414,SMA EMIISc Jakarta,SWASTA,SMA,16405,Kec. Kramat Jati,16400,Kota Jakarta Timur,10000,Prov. D.K.I. Jakarta,-6.2915,106.8564
50302620,SMA NEGERI MAUROLE,NEGERI,SMA,240906,Kec. Maurole,240900,Kab. Ende,240000,Prov. Nusa Tenggara Timur,-8.5103,121.7911
69774867,SMAN 11 ENREKANG,NEGERI,SMA,191611,Kec. Masalle,191600,Kab. Enrekang,190000,Prov. Sulawesi Selatan,-3.3397,119.7489
40100913,SMAS KRISTEN DAMAI RERER,SWASTA,SMA,170224,Kec. Kombi,170200,Kab. Minahasa,170000,Prov. Sulawesi Utara,1.2729,125.0035
60100979,SMA NEGERI 4 BURU,NEGERI,SMA,210317,Kec. Batabual,210300,Kab. Buru,210000,Prov. Maluku,-3.5805,127.2424
20101584,SMAN 95 JAKARTA,NEGERI,SMA,16208,Kec. Kali Deres,16200,Kota Jakarta Barat,10000,Prov. D.K.I. Jakarta,-6.1263,106.7039
70001504,SMA AQL ISLAMIC SCHOOL,SWASTA,SMA,20517,Kec. Jonggol,20500,Kab. Bogor,20000,Prov. Jawa Barat,-6.490167,107.062674
20501848,SMAS DHARMA WANITA 2,SWASTA,SMA,50201,Kec. Tarik,50200,Kab. Sidoarjo,50000,Prov. Jawa Timur,-7.4615,112.5159
30104080,SMAN 1 SAMALANTAN,NEGERI,SMA,130803,Kec. Samalantan,130800,Kab. Bengkayang,130000,Prov. Kalimantan Barat,0.7935,109.1927
40204252,SMAN 1 TINOMBO SELATAN,NEGERI,SMA,180810,Kec. Tinombo Selatan,180800,Kab. Parigi Moutong,180000,Prov. Sulawesi Tengah,0.0616,120.1081
20311305,SMAN 1 MANYARAN,NEGERI,SMA,31212,Kec. Manyaran,31200,Kab. Wonogiri,30000,Prov. Jawa Tengah,-7.8535,110.8434
10264690,SMA NEGERI 1 BARUMUN SELATAN ,NEGERI,SMA,72410,Kec. Barumun Selatan,72400,Kab. Padang Lawas,70000,Prov. Sumatera Utara,1.0567,99.7582
10605586,SMAN 1 LAIS,NEGERI,SMA,110111,Kec. Lais,110100,Kab. Musi Banyuasin,110000,Prov. Sumatera Selatan,-2.9464,103.972
11002204,SMAS KATOLIK YOS SUDARSO,SWASTA,SMA,316012,Kec. Batam Kota,316000,Kota Batam,310000,Prov. Kepulauan Riau,1.1244,104.0437
70003114,SMA PELITA,SWASTA,SMA,170605,Kec. Likupang Timur,170600,Kab. Minahasa Utara,170000,Prov. Sulawesi Utara,1.6534453,125.1389692
30101122,SMAN 1 BATU AMPAR,NEGERI,SMA,131311,Kec. Batu Ampar,131300,Kab. Kuburaya,130000,Prov. Kalimantan Barat,-0.6933,109.2477
10806033,SMAS BUANA BANDAR SRIBAWONO,SWASTA,SMA,120717,Kec. Bandar Sribhawono,120700,Kab. Lampung Timur,120000,Prov. Lampung,-5.3055,105.744
20549261,SMAS ISLAM WALI SONGO,SWASTA,SMA,52713,Kec. Karangpenang,52700,Kab. Sampang,50000,Prov. Jawa Timur,-6.9783,113.3701
20331704,SMAS MA ARIF WADASLINTANG,SWASTA,SMA,30701,Kec. Wadaslintang,30700,Kab. Wonosobo,30000,Prov. Jawa Tengah,-7.5378,109.801
20532135,SMAS KRISTEN PETRA 1,SWASTA,SMA,56012,Kec. Dukuh Pakis,56000,Kota Surabaya,50000,Prov. Jawa Timur,-7.2817,112.6965
10214162,SMA SWASTA BINA BANGSA TIGA JUHAR,SWASTA,SMA,70102,Kec. Sinembah Tnjng Muda Hulu,70100,Kab. Deli Serdang,70000,Prov. Sumatera Utara,3.2865,98.7102
40307353,SMAS RAMA SEJAHTERA,SWASTA,SMA,196010,Kec. Panakukkang,196000,Kota Makassar,190000,Prov. Sulawesi Selatan,-5.1474,119.4456
20606550,SMAS AL MUBAROK,SWASTA,SMA,286109,Kec. Pinang,286100,Kota Tangerang,280000,Prov. Banten,-6.2223,106.646
10901468,SMAN 1 KEP. PONGOK,NEGERI,SMA,290509,Kec. Kep. Pongok,290500,Kab. Bangka Selatan,290000,Prov. Kepulauan Bangka Belitung,-2.877,107.0341
30300241,SMAN 1 PENGARON,NEGERI,SMA,150110,Kec. Pengaron,150100,Kab. Banjar,150000,Prov. Kalimantan Selatan,-3.2985,115.09
20107315,SMAS MUHAMMADIYAH 18 JAKARTA,SWASTA,SMA,16305,Kec. Kebayoran Lama,16300,Kota Jakarta Selatan,10000,Prov. D.K.I. Jakarta,-6.2345,106.7717
20549684,SMAS YPD TRAWAS,SWASTA,SMA,50304,Kec. Trawas,50300,Kab. Mojokerto,50000,Prov. Jawa Timur,-7.6656,112.5957
20232336,SMAS GITA PGRI,SWASTA,SMA,20538,Kec. Cigombong,20500,Kab. Bogor,20000,Prov. Jawa Barat,-6.7493,106.8048
69759021,SMA MAMBAUL ULUM,SWASTA,SMA,52608,Kec. Pegantenan,52600,Kab. Pamekasan,50000,Prov. Jawa Timur,-7.031,113.5098
20200680,SMAN 1 JONGGOL,NEGERI,SMA,20517,Kec. Jonggol,20500,Kab. Bogor,20000,Prov. Jawa Barat,-6.4825,107.0603
10648258,SMAN 3 LAIS,NEGERI,SMA,110111,Kec. Lais,110100,Kab. Musi Banyuasin,110000,Prov. Sumatera Selatan,-2.9362,104.0753
20549262,SMAN 1 KETAPANG,NEGERI,SMA,52711,Kec. Ketapang,52700,Kab. Sampang,50000,Prov. Jawa Timur,-6.8973,113.2409
40103090,SMAN 1 BITUNG,NEGERI,SMA,176103,Kec. Girian,176100,Kota Bitung,170000,Prov. Sulawesi Utara,1.4381,125.1247
20533664,SMAN 2,NEGERI,SMA,56103,Kec. Klojen,56100,Kota Malang,50000,Prov. Jawa Timur,-7.991525,112.6339083
