nama_sekolah,npsn,sekolah_id_enkrip
SANGGAR KEGIATAN BELAJAR,P9984803,64D8FDD7F21AE259C7DD                                                                                
UPT SPNF SKB Daratan,P9970215,64D9D587D68A863CACA3                                                                                
SANGGAR KEGIATAN BELAJAR (SKB) JEPARA,P9954390,8E4D983CEA34F51587E2                                                                                
SPNF SKB BINTAUNA,P9954429,9A972836B0EFFABB110B                                                                                
SKB KOTA TERNATE,P9956837,FA0F1B5AB5F1B36DBAB4                                                                                
SPNF SKB BANJARNEGARA,P9959990,EA9D81F9928FCAED543F                                                                                
SKB OGAN ILIR,P9947922,3702E822B380CC8997B7                                                                                
SKB SEJIRAN SETASON MUNTOK,P9952798,9FF8CD98516F487ACD1A                                                                                
SKB KRAKSAAN,P9947701,7492622131F89D1DE0E0                                                                                
SKB Lima Puluh Kota,P9954325,8212C1A3B8BC740B111D                                                                                
SKB KOTA KUPANG,P9956856,15BCF651432E9E78098C                                                                                
SPNF SKB GU,P9970490,76516A2DBC46D9FE670F                                                                                
SANGGAR KEGIATAN BELAJAR,P9960039,881E7307C0A2F52E98CE                                                                                
UPTD SPNF SKB SALATIGA,P9952699,964BB7AA8776A50DE4FC                                                                                
SKB BANYUASIN,P9956850,8D8297425741B098C2F2                                                                                
SPNF SKB PRINGSEWU,P9959795,F1A93FD0DB8A09BA42B4                                                                                
SKB BANTUL,P9952556,DD15830F8EFE5170916D                                                                                
SPNF-SKB KERSANA,P9970315,E58AC213DBE2F7A7DD18                                                                                
SPNF SANGGAR KEGIATAN BELAJAR (SKB),P9984356,B521E55835391B7A7070                                                                                
SANGGAR KEGIATAN BELAJAR KABUPATEN PENUKAL ABAB LEMATANG ILIR,P9970333,9CD15DEA67E5CA5DBCBA                                                                                
SKB GROBOGAN ,P9954376,7668DA51417F9D01B251                                                                                
SKB KATINGAN HARATI,P9959997,7667D37DD33F0E32C20E                                                                                
SKB SINTANG ,P9962667,A756927D79082451C8F0                                                                                
SKB Kabupaten Kupang,P9970167,E8055A2C48F4DE63CDD2                                                                                
SKB PASAMAN,P9945779,06E849B76E390BBFC4BD                                                                                
SKB POHUWATO,P9956936,403F15988C6613C58AC7                                                                                
SKB KOTA YOGYAKARTA,P2960844,1AA052A9675D9A0D0401                                                                                
SPNF-SKB WILAYAH II,P9970508,EB46BE7CA1C2DF1B70D7                                                                                
SKB KABUPATEN MAGELANG,P9952492,3D587BA9CF7AEBE5FF4D                                                                                
SKB LOMBOK TIMUR,P9962772,877B97411E4464B466DD                                                                                
SPNF MODOINDING,P9984886,CC8C8CDBFDF13B7856F8                                                                                
SKB Kabupaten Tapin,P9968075,5AD8B8F30771CBB8ADAF                                                                                
SKB KAB. SERAM BAGIAN TIMUR,P9970636,9B9B980C36D254388867                                                                                
SKB TABALONG,P9948319,BA79AD13C8260F519FCA                                                                                
SKB KABUPATEN BENGKULU SELATAN ,P9959968,C0B03B57C111216675CF                                                                                
SKB BLORA,P9952584,0157B41B9DD4E3DA6D34                                                                                
SKB KABUPATEN SERANG,P9970198,62CA3B07BBE148595748                                                                                
SKB Purwokerto,P9952499,BA0D79C7797EA9AA049D                                                                                
SPNF SKB BENGKULU TENGAH,P9962676,D70AAA4573521727CA5E                                                                                
SKB KOTA JAMBI,P9945683,F569E67123BDFE2C96A8                                                                                
SPNF SKB kota Pematangsiantar,P9970332,3DDC8E8C5AFE0B4EBB3D                                                                                
SKB OKU,P9959888,EDF7B01A9CA4CEF535BC                                                                                
SKB Karawang,P9962927,64C3362F50895F542BF1                                                                                
SPNF SKB Padang Panjang,P9948215,9FF7634A5E864F6E4090                                                                                
UPTD SPNF SKB PAREPARE,P9970280,D98E6F1B739BD8E225C4                                                                                
SPNF SKB TAPANULI SELATAN,P9952911,F34F01A8812ED751D0B0                                                                                
SKB KABUPATEN LEMBATA,P9963175,E7C70B53E14B60EDE051                                                                                
SKB KUBU RAYA,P9952915,F9DBF444D6EE28EF0323                                                                                
SPNF SKB Kota Manado,P9960012,7FD08B5BC1AF99243602                                                                                
SPNF - SKB Buleleng,P9952888,1969C2933162924AFDB6                                                                                
SPNF SKB SIKKA,P9963182,6A3DD6F4B3632D7080C7                                                                                
SANGGAR KEGIATAN BELAJAR (SKB) KOTA PRABUMULIH,P9996570,3B8144294C41D55BCB74                                                                                
SKB LAMPUNG SELATAN,P9970344,44008BCB2CB79FFD5E92                                                                                
SPNF SKB BANJAR,P9956933,1AABD0DE5B93F54DBE92                                                                                
SKB SUMBA TENGAH,P9954396,2E00D648A0EF5BAA5AC8                                                                                
SKB CILACAP,P9948532,C0C645E525366A927CA3                                                                                
SKB Kota Bontang,P9948476,188B7554C9193FE43FE9                                                                                
UPTD SPNF SKB KABUPATEN KLUNGKUNG,P9984330,331E30C1F2BEB6C23037                                                                                
SKB MUNA,P9962878,44D38C09468305A22FDF                                                                                
SKB Kota Samarinda,P9948327,BC08498A215D3DB88E91                                                                                
SPNF SKB ENREKANG,P9947977,1469F716531B2EDF2BE8                                                                                
SANGGAR KEGIATAN BELAJAR (SKB) RADEN MATTAHER,P9996934,37FFF261704890B82037                                                                                
SPNF SKB KOTA TOMOHON,P9962817,AD27FD9BF9927BF19558                                                                                
SPNF SKB LUBUK PAKAM,P9952525,756207C951023997C3E8                                                                                
SKB KUTAI BARAT,P9960016,A0CF54896F54C1692B3C                                                                                
SPNF SANGGAR KEGIATAN BELAJAR (SKB),P9970680,5A051F25B1F921E1EE39                                                                                
SKB BELU,P9968056,A52D3EAEFADF0326759C                                                                                
SKB LIMBOTO,P9948430,4DCF6AE68DA97413B804                                                                                
SPNF - SKB WILAYAH III,P9970583,96559559985174B11843                                                                                
SKB KOLAKA TIMUR,P9959659,3026D61CB9AEDD071C13                                                                                
SKB BUOL,P9956926,3B941137427FC281C361                                                                                
SKB KOTA TASIKMALAYA,P9962727,60C3FCEC989E7FE3E912                                                                                
SKB KABUPATEN TANGERANG,P9970187,D96000BEC171205CBD23                                                                                
SPNF - SKB KABUPATEN ACEH JAYA,P9985043,07CC66229C2970BCF11C                                                                                
SKB PANGKAJENE DAN KEPULAUAN,P9948373,462EBEBE76BE8BDFA124                                                                                
SKB Kabupaten Aceh Timur,P9954136,7AAD081BF65A6A40BE14                                                                                
SKB OKU SELATAN,P9985038,B98EF7698BC4F0F891E1                                                                                
SKB KAB.LEBAK,P9980055,17613F01CD7E914BC81C                                                                                
SPNF SKB SONGULARA,P9956894,2780A7916566327CCB5F                                                                                
SPNF SKB KOTA DEPOK,P9970384,FDBBAB51237AA0AE277A                                                                                
SPNF SKB KOTA BEKASI,P9962957,096FAED4E33DA8616FA9                                                                                
SKB KABUPATEN SLEMAN,P9959833,5ACE030E1B53FACF5BED                                                                                
SKB TUTUYAN,P9963095,31C4529996823E296F32                                                                                
SATUAN PENDIDIKAN NON FORMAL SKB SANGATTA UTARA,P9948091,B57ED3B2610365E07546                                                                                
SKB BANGGAI,P9948206,3579EFF47BA67F6211CB                                                                                
SKB KOTA PAYAKUMBUH,P9970073,AA70A2F53C8FE6828EAA                                                                                
SKB MESUJI INDAH,P9984295,445E77C20EA30A3BCD80                                                                                
SKB SPNF KABUPATEN TEGAL,P9959671,201F4DD93F32466642AC                                                                                
SKB KAKAS,P9952768,73DE8D713CDA6357318F                                                                                
SKB ACEH UTARA ,P9948312,5D7C9D43F4E62928E1E2                                                                                
SPNF SKB BATANG HARI,P9996171,6FC2CE8A652DD356C293                                                                                
SPN SEJENIS SKB KABUPATEN NIAS,P9963162,0342BEB653ED1883AE76                                                                                
SPNF SKB Kabupaten Kepulauan Sula,P9970254,BD1F6521785D0DBCF599                                                                                
SKB Batang,P9934703,75071C3E5F1205D3E719                                                                                
SKB KABUPATEN WONOSOBO,P9948196,CC919A3794D1A27C8899                                                                                
SKB Kabupaten Badung,P9962766,CDB70626039FB94805E1                                                                                
SANGGAR KEGIATAN BELAJAR MOROWALI,P9962956,E8E041152158B910E04E                                                                                
SKB SIDRAP,P9959937,AF5FEB10DCFE591C4C35                                                                                
SKB Kabupaten Jembrana,P9970098,4B19BD1F131FB4264515                                                                                
SPNF SKB KOTA BANDA ACEH,P9970432,920015FC1F646993B921                                                                                
SPNF SKB Kabupaten Hulu Sungai Tengah,P9962830,AEFC28C337C7AEE9F9EC                                                                                
SPNF SKB UJUNG PANDANG,P2970079,B42B6E5BA90EB1BD8B48                                                                                
UPTD Satuan PNF SKB Aimere,P9952511,2A6CAF50FC1941B63CE5                                                                                
SKB KABUPATEN PURWAKARTA,P9970501,0F9E0F66C480D801F1F6                                                                                
SPNF SKB KABUPATEN TASIKMALAYA,P9970190,0FF885BCB38EF832E542                                                                                
SKB KABUPATEN SUMBA TIMUR,P9970249,F9A8D943B7270EBF39FB                                                                                
Sanggar Kegiatan Belajar (SKB) Kota Tangerang Selatan,P9985006,BDCE471107A44725E189                                                                                
SKB Kabupaten Rote Ndao,P9970235,2841AE725EC0157A40DA                                                                                
SKB Kota Sabang,P9970231,7E2E028B1AB7B5371206                                                                                
SKB KABUPATEN SAMBAS,P9969974,7A05CF015E27823348F1                                                                                
SKB Balikpapan Tengah,P9952473,0C5706D469C7948BD343                                                                                
SKB KABUPATEN GOWA ,P9970118,9F57178C851A576243D1                                                                                
SKB Palopo,P9960040,7E238A911B3F7411AD7C                                                                                
SKB KOTA SUKABUMI,P2964206,F3FC74D336FD12429E8E                                                                                
SKB KOTA BANJARMASIN,P9962901,63416AFD305757FB0604                                                                                
SATUAN PENDIDIKAN NON FORMAL SKB WILAYAH 1,P9952864,3EA9181BA7942C489F80                                                                                
SKB ACEH TAMIANG,P9970225,DD70365B831643756975                                                                                
SKB (SANGGAR KEGIATAN BELAJAR) KOTA BIMA,P9970266,48BF6D6C250CD530D5AC                                                                                
UPT SPNF SKB KABUPATEN KAMPAR,P9959898,4C8199EE6808EF7D6931                                                                                
SKB KOTA SAWAHLUNTO,P9959992,B342E1A81835990178A0                                                                                
SKB BANGGAI LAUT,P9968109,9AF10CD4D226DCB863C4                                                                                
SKB KABUPATEN KEPULAUAN TALAUD,P9970545,DAD21D21A80C039459D4                                                                                
SKB MINAHASA UTARA,P9959887,EB7C503E08B79D2CACBF                                                                                
UPTD SPNF SKB LARANTUKA,P9960045,25E73BD0E569372989B7                                                                                
SPNF TARERAN,P9984822,AB419D7B4476C282F838                                                                                
SKB KALIBAGOR,P9959724,B5BCF918060E705CB5ED                                                                                
SKB KOTA BAUBAU,P9948234,975115A06C9A2FE95773                                                                                
SATUAN PENDIDIKAN SANGGAR KEGIATAN BELAJAR KAB.KARANGASEM,P2967017,E458D858EDB0F1EC5103                                                                                
SKB KOTA PALANGKA RAYA,P9970337,1AF29DAAEEF0B751812A                                                                                
SKB PEMALANG,P9956946,71DE30C6C682EC8FF9B4                                                                                
SATUAN PENDIDIKAN NONFORMAL SANGGAR KEGIATAN BELAJAR (SKB) KOTA TUAL,P9984557,8198C8DCDD08CE6E2448                                                                                
SKB KAB.DOGIYAI,P9970224,5B0B1176DB538BD20473                                                                                
SPNF SKB KOTA KOTAMOBAGU,P9954347,06E7774FCD6DD8CE3C81                                                                                
SKB BALANGAN,P9948204,557C956EEFE67A7BBC2F                                                                                
SKB KOTA PALEMBANG,P9959714,BFE8C177B617FDE19DEF                                                                                
SPNF SKB Kabupaten Bangli,P9970238,A9817F1B4D937FEF840F                                                                                
SKB WONDAMA,P9954132,8A3112C978F30F1F27B2                                                                                
SKB POSIMPOTOVE,P9969988,D806150C47D027FF9AA9                                                                                
SPNF TENGA,P9984754,8DDE7486491D7D7B3E8E                                                                                
SKB SPNF WILAYAH 2 KOTA PADANG,P9959890,6D212D6E3DB8A2F10FF3                                                                                
