rombel,guru_kelas,guru_matematika,guru_bahasa_indonesia,guru_bahasa_inggris,guru_pkn,guru_penjaskes,guru_agama_budi_pekerti,guru_seni_budaya,ptk_laki,ptk_perempuan,pegawai_laki,pegawai_perempuan,pd_kelas_1_laki,pd_kelas_1_perempuan,pd_kelas_2_laki,pd_kelas_2_perempuan,pd_kelas_3_laki,pd_kelas_3_perempuan,pd_kelas_4_laki,pd_kelas_4_perempuan,pd_kelas_5_laki,pd_kelas_5_perempuan,pd_kelas_6_laki,pd_kelas_6_perempuan,pd_kelas_7_laki,pd_kelas_7_perempuan,pd_kelas_8_laki,pd_kelas_8_perempuan,pd_kelas_9_laki,pd_kelas_9_perempuan,pd_kelas_10_laki,pd_kelas_10_perempuan,pd_kelas_11_laki,pd_kelas_11_perempuan,pd_kelas_12_laki,pd_kelas_12_perempuan,jumlah_kirim,ptk,pegawai,pd,pd_laki,pd_perempuan,before_ruang_kelas,after_ruang_kelas,before_ruang_perpus,after_ruang_perpus,before_ruang_lab,after_ruang_lab,before_ruang_praktik,after_ruang_praktik,before_ruang_pimpinan,after_ruang_pimpinan,before_ruang_guru,after_ruang_guru,before_ruang_ibadah,after_ruang_ibadah,before_ruang_uks,after_ruang_uks,before_toilet,after_toilet,before_gudang,after_gudang,before_ruang_sirkulasi,after_ruang_sirkulasi,before_tempat_bermain_olahraga,after_tempat_bermain_olahraga,before_ruang_tu,after_ruang_tu,before_ruang_konseling,after_ruang_konseling,before_ruang_osis,after_ruang_osis,before_bangunan,after_bangunan,cluster
9,8,0,0,0,0,7,3,0,3,4,0,1,2,0,1,0,0,0,2,1,2,1,4,1,3,2,2,0,1,3,0,0,2,3,0,0,3,7,1,30,19,11,12,12,0,0,0,0,0,0,0,0,1,1,0,0,0,0,7,7,0,0,0,0,0,0,0,0,1,1,0,0,10,10,1
11,7,0,0,0,0,0,0,0,2,5,2,1,3,1,0,2,0,2,0,2,1,2,4,5,0,0,3,0,3,2,3,5,1,4,2,2,14,7,3,47,20,27,7,7,0,0,0,0,0,0,1,1,1,1,1,1,1,1,2,2,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1
44,34,1,1,0,2,1,1,0,13,32,7,1,13,9,11,10,14,7,11,11,7,9,17,6,9,13,14,5,10,8,8,4,9,9,9,8,6,45,8,243,140,103,76,76,2,2,3,3,1,1,6,6,1,1,0,0,1,1,4,4,3,3,0,0,1,1,1,1,3,3,0,0,1,1,2
23,9,0,0,0,0,0,2,0,1,10,1,1,4,4,5,5,10,2,4,4,7,10,4,6,4,2,7,6,3,4,8,1,15,6,5,5,11,11,2,131,76,55,14,11,1,1,1,1,0,0,1,1,1,1,0,0,0,0,6,6,0,1,0,0,0,0,1,1,0,0,0,0,5,5,0
7,4,0,0,0,0,0,0,0,1,5,0,2,1,1,6,0,0,0,1,1,5,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,4,6,2,18,15,3,8,8,0,0,0,0,0,0,1,1,1,1,0,0,0,0,4,4,0,0,0,0,0,0,0,0,1,1,0,0,3,3,1
29,29,0,0,1,0,1,3,2,14,22,3,4,7,3,10,5,5,5,7,3,7,6,8,4,8,8,7,7,4,12,8,7,8,6,8,6,21,36,7,159,87,72,31,31,1,1,0,0,0,0,1,1,1,1,0,0,1,1,2,2,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0
14,5,0,0,0,0,0,0,0,2,4,2,1,1,1,0,3,0,0,1,0,1,0,1,0,4,1,1,1,1,0,0,0,2,4,0,0,22,6,3,22,12,10,18,18,1,1,1,1,0,0,1,1,1,1,0,0,1,1,6,6,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1
12,9,0,0,0,0,0,0,0,5,5,1,0,3,3,7,4,5,3,4,2,1,5,2,3,1,0,1,6,1,3,4,0,4,2,1,0,7,10,1,65,34,31,8,8,1,1,0,0,0,0,1,1,1,1,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,3,3,1
26,15,1,1,0,0,0,0,0,3,14,3,1,7,1,7,2,5,2,4,0,8,1,4,2,10,5,6,3,7,1,2,6,0,1,2,0,11,17,4,86,62,24,11,13,1,1,0,0,0,0,1,1,1,1,0,0,0,0,6,6,0,0,0,0,0,0,1,1,0,0,0,0,6,6,0
29,9,0,0,0,0,1,4,0,1,16,1,3,2,0,9,0,4,1,4,2,8,4,1,0,4,1,5,8,8,3,1,0,5,2,2,1,5,17,4,75,53,22,3,3,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0
25,18,0,0,0,0,2,0,0,7,13,0,1,3,1,3,9,6,2,6,1,6,5,11,7,3,5,6,5,6,2,6,6,2,4,4,3,10,20,1,112,62,50,44,44,1,1,2,2,1,1,1,1,1,1,1,1,1,1,4,4,1,1,0,0,0,0,1,1,1,1,0,0,1,1,0
24,24,0,0,1,0,0,6,0,10,21,2,6,8,3,8,7,3,4,4,3,9,6,9,6,16,8,9,7,9,0,8,2,4,2,6,4,12,31,8,145,93,52,27,27,0,0,0,0,0,0,1,1,2,2,1,1,0,0,7,7,2,2,0,0,0,0,0,0,0,0,0,0,18,18,0
14,11,0,0,0,0,0,2,0,1,10,1,0,7,3,12,4,7,5,4,1,10,3,2,1,2,1,0,0,5,0,2,0,2,2,4,2,2,11,1,87,61,26,14,14,0,0,0,0,0,0,1,1,0,0,1,1,0,0,2,2,1,1,0,0,0,0,1,1,0,0,0,0,3,3,0
12,5,1,2,1,3,2,4,0,6,5,1,0,5,0,2,4,3,2,1,2,3,0,6,1,6,5,2,4,5,4,4,4,6,1,4,0,14,11,1,74,47,27,12,12,1,1,1,1,0,0,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
23,6,3,2,3,3,4,4,9,5,22,1,4,0,0,0,0,1,1,2,2,0,1,4,1,6,1,3,3,4,2,2,1,4,1,4,1,4,27,5,44,30,14,29,23,0,0,0,0,0,0,1,1,1,1,0,0,0,0,2,2,0,0,0,0,0,0,1,1,0,0,0,0,5,5,1
8,6,0,0,0,0,0,0,0,2,4,2,0,0,0,0,0,1,1,0,0,2,2,3,1,6,1,1,2,4,1,3,3,0,4,0,0,3,6,2,35,20,15,9,9,1,1,0,0,0,0,1,1,2,2,1,1,1,1,3,3,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1
12,7,0,0,0,0,1,0,0,2,7,1,1,2,0,3,1,0,0,2,0,5,0,1,2,3,0,1,2,2,1,0,0,0,0,2,2,7,9,2,29,21,8,4,4,0,0,0,0,0,0,1,1,1,1,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,5,5,1
10,10,0,0,0,0,4,2,0,3,7,1,0,0,2,1,2,0,2,5,4,5,1,7,3,0,0,0,0,0,0,0,0,0,0,0,0,11,10,1,38,21,17,10,10,1,1,1,1,0,0,1,1,1,1,1,1,1,1,4,4,1,1,1,1,0,0,1,1,0,0,0,0,2,2,1
12,12,0,0,0,0,0,0,0,2,9,0,1,5,4,3,0,2,3,2,1,5,4,5,1,4,0,1,3,1,3,5,4,0,1,4,0,3,11,1,61,37,24,5,5,1,1,0,0,0,0,1,1,1,1,1,1,1,1,4,4,0,0,0,0,0,0,1,1,0,0,0,0,2,2,1
49,36,0,0,0,0,2,6,0,7,36,4,2,14,9,17,9,7,7,13,8,9,15,11,5,7,18,23,21,13,7,8,9,6,6,9,4,14,43,6,255,137,118,25,24,1,1,0,1,0,0,1,1,1,1,1,1,1,1,9,9,1,1,0,0,0,0,1,1,0,0,0,0,9,9,2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1
6,3,3,2,1,3,4,4,3,0,4,1,1,2,0,1,1,3,0,1,0,3,2,0,0,0,0,4,3,0,0,0,0,0,0,0,0,3,4,2,20,14,6,5,6,1,1,0,0,0,0,1,1,1,1,1,1,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
16,5,5,5,1,5,5,2,4,3,6,1,0,1,0,1,1,0,0,2,1,2,2,2,2,1,2,1,2,3,1,2,4,0,2,0,0,4,9,1,32,15,17,10,10,1,1,0,0,0,0,1,1,1,1,0,0,0,0,2,2,1,1,0,0,0,0,1,1,0,0,0,0,1,1,1
13,7,0,0,0,0,0,1,0,2,6,2,2,1,2,3,2,1,1,2,1,3,2,4,0,3,1,2,4,3,1,6,2,1,4,4,4,7,8,4,57,33,24,8,8,1,1,0,0,0,0,0,0,1,1,0,0,1,1,3,3,1,1,0,0,0,0,0,0,0,0,0,0,4,4,1
12,8,0,0,3,0,2,8,0,3,6,2,2,1,0,4,2,1,2,3,0,2,1,3,2,5,3,1,2,2,0,2,1,1,2,1,0,8,9,4,41,26,15,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,2,2,0,0,0,0,0,0,0,0,0,0,6,6,1
16,16,7,0,0,10,11,11,7,5,11,1,1,6,1,8,1,8,3,7,2,6,5,10,5,15,3,14,2,12,8,6,6,8,8,6,5,10,16,2,155,106,49,21,21,0,0,0,0,1,1,1,1,1,1,1,1,1,1,5,5,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0
10,5,0,0,0,0,0,0,0,0,4,0,2,1,2,4,1,2,1,2,0,10,2,7,1,4,6,0,1,0,0,3,0,0,0,0,0,15,4,2,51,36,15,11,12,1,1,0,0,0,0,1,1,1,1,0,0,0,0,3,3,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1
12,8,0,0,0,0,0,0,0,6,3,2,0,4,1,3,2,1,0,2,0,4,0,2,0,1,1,2,2,6,0,0,1,3,2,1,2,13,9,2,40,29,11,5,5,0,0,0,0,0,0,1,1,1,1,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
8,6,0,0,0,0,0,0,0,1,3,0,1,0,0,1,1,0,0,2,0,2,1,0,1,2,2,3,3,0,0,1,3,1,0,0,0,2,4,1,23,12,11,13,13,1,1,0,0,0,0,0,0,1,1,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
19,18,1,2,5,5,5,3,10,5,16,2,2,9,2,10,3,6,3,7,7,8,12,7,3,10,5,7,10,8,6,0,0,0,0,0,0,10,21,4,126,73,53,19,19,0,0,0,0,0,0,1,1,1,1,1,1,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
34,15,2,0,1,0,1,7,0,1,22,4,7,5,5,8,9,6,4,4,7,12,6,6,5,6,4,12,5,6,9,4,2,2,3,6,1,6,23,11,139,79,60,15,15,1,1,0,0,0,0,1,1,1,1,0,0,1,1,5,5,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0
12,1,0,4,0,0,0,4,0,3,4,1,1,8,1,4,1,4,2,0,2,3,0,1,0,2,1,4,0,2,0,0,0,3,0,5,0,9,7,2,43,36,7,21,21,1,1,0,0,1,1,1,1,2,2,1,1,1,1,4,4,1,1,1,1,0,0,1,1,1,1,1,1,3,3,1
